[00:00.000 --> 00:01.340]  I did, I did.
[47:33.460 --> 47:36.220]  how to get it all trimmed and fresh frozen on time
[47:36.220 --> 47:38.500]  to where, you know, things are getting overripe.
[47:38.500 --> 47:40.380]  They're short cutting the process
[47:40.380 --> 47:44.500]  and sacrificing resin in the process of that.
[47:46.020 --> 47:46.860]  You know.
[47:46.860 --> 47:47.980]  Definitely taking shortcuts.
[47:47.980 --> 47:49.580]  And that's why I want, you know,
[47:50.700 --> 47:51.860]  the majority of people to see,
[47:51.860 --> 47:53.900]  especially if you start at the beginning,
[47:54.220 --> 47:56.780]  if you don't take shortcuts and you're going out of your way
[47:56.780 --> 47:59.460]  to understand the A to Z process,
[47:59.460 --> 48:02.900]  within just a few years, you are gonna be light years ahead
[48:02.900 --> 48:06.740]  of really any farmer that started 10, 15 years ago
[48:07.580 --> 48:09.460]  that didn't continue to educate themselves.
[48:09.460 --> 48:10.780]  You're just gonna understand the plant
[48:10.780 --> 48:12.600]  on a whole different level.
[48:12.600 --> 48:14.640]  So I encourage you guys that if you haven't started
[48:14.640 --> 48:18.340]  to at least just start growing plants and see for yourself,
[48:18.340 --> 48:21.140]  grow one side with synthetics and one side
[48:21.140 --> 48:22.860]  with the microbial world,
[48:22.860 --> 48:24.860]  especially if you've never grown plants before.
[48:24.860 --> 48:27.620]  It's fantastic just to start to get your hands
[48:27.620 --> 48:30.300]  touching plants and seeing, like Andrew was mentioning,
[48:30.300 --> 48:31.740]  the structure and that kind of stuff,
[48:31.740 --> 48:34.100]  because you need a trained eye
[48:34.100 --> 48:36.340]  if you're really going to take your skillsets
[48:36.340 --> 48:37.260]  to the next level.
[48:39.300 --> 48:43.260]  Yeah. And you know, it's easy to just do one 30 gallon pot
[48:43.260 --> 48:44.300]  and just play with it.
[48:44.300 --> 48:45.600]  It really is.
[48:45.600 --> 48:49.940]  So, you know, grow some balls and go for it.
[48:50.780 --> 48:53.620]  What was Marco Grose?
[48:53.620 --> 48:55.260]  He's like, get off the bottles.
[48:55.260 --> 48:56.740]  No, he says, I love it.
[48:56.740 --> 48:58.600]  He says, bottles are for babies.
[49:00.800 --> 49:02.340]  Real men use jars.
[49:05.780 --> 49:06.980]  Nice, nice.
[49:08.180 --> 49:12.900]  So how long have you been in the living soils?
[49:12.900 --> 49:15.540]  Were you in it before you went to Chris's class
[49:15.540 --> 49:17.220]  or was that just kind of a-
[49:17.900 --> 49:19.380]  I was in it before that.
[49:19.380 --> 49:21.580]  And that was something that I did.
[49:21.580 --> 49:25.700]  I really wanted to learn more about the FAA process
[49:25.700 --> 49:30.060]  and also about the IMO 3 and some of those things.
[49:30.060 --> 49:32.100]  So that's really what I went there to go for.
[49:32.100 --> 49:33.860]  And I guess also the OHN,
[49:33.860 --> 49:37.300]  I really wanted to like see how he was doing his OHN
[49:37.300 --> 49:40.500]  because what I was doing before was not that, you know,
[49:40.500 --> 49:44.340]  it was more my interpretation from the PDF.
[49:44.340 --> 49:48.000]  And that was not necessarily a good thing.
[49:50.460 --> 49:53.540]  Did you have adverse reaction when you used it?
[49:53.540 --> 49:55.420]  No, I just don't think it was as effective.
[49:55.420 --> 49:58.260]  I think I was missing the ball, you know?
[49:58.260 --> 50:00.580]  And when I went to Chris Trump's class,
[50:00.580 --> 50:03.960]  it really helped me kind of sharpen out those things
[50:03.960 --> 50:06.940]  and ask some questions and, I don't know,
[50:06.940 --> 50:08.600]  be with other people that actually know
[50:08.600 --> 50:10.520]  what they're doing too and have done it before.
[50:10.520 --> 50:13.720]  And that was a really good thing for me.
[50:14.860 --> 50:18.860]  I really recommend any of Chris Trump's course,
[50:18.860 --> 50:21.140]  especially the hands-on one to anybody
[50:21.140 --> 50:24.860]  that's looking to learn about Korean natural farming.
[50:24.860 --> 50:29.700]  Yeah, those in-person classes at the bottom.
[50:29.700 --> 50:31.620]  He did one out in Connecticut for me.
[50:31.620 --> 50:32.860]  I invited him out to East,
[50:32.860 --> 50:35.340]  but no one was out there representing
[50:35.340 --> 50:36.580]  the natural farming community.
[50:36.580 --> 50:40.300]  And he came out and so I got to participate with one day.
[50:41.220 --> 50:43.220]  Fantastic, you could just give a ride.
[50:43.380 --> 50:46.020]  Everybody's learning from each other,
[50:46.020 --> 50:47.060]  looking at the skirts,
[50:47.060 --> 50:51.100]  elevating the understanding of what's going on.
[50:51.100 --> 50:53.420]  So it's really the best way to learn.
[50:53.420 --> 50:55.620]  You know, you can do it via video or YouTube,
[50:55.620 --> 50:57.900]  but if you have the opportunity,
[50:57.900 --> 51:00.140]  that'll be the best way.
[51:00.140 --> 51:02.020]  Because it's really next level.
[51:03.060 --> 51:03.900]  Yeah, absolutely.
[51:03.900 --> 51:05.460]  His YouTube videos are great,
[51:05.460 --> 51:06.660]  but yeah, the experience
[51:06.660 --> 51:08.500]  just takes it to a whole other level.
[51:10.700 --> 51:12.940]  We getting a little feedback there, Peter?
[51:13.700 --> 51:14.540]  Yeah, but we didn't want to interrupt
[51:14.540 --> 51:17.380]  because we were so happy to see Peter taking a dab live.
[51:17.380 --> 51:19.780]  We didn't want to interject.
[51:21.260 --> 51:22.500]  Good to see you, brother.
[51:27.720 --> 51:32.280]  So my, yeah, I had a lot going on there.
[51:33.680 --> 51:38.320]  I updated my credit card.
[51:38.320 --> 51:39.640]  And like, you know,
[51:39.640 --> 51:43.800]  like everywhere where you have recurring payments,
[51:43.800 --> 51:47.920]  you have to update and StreamYard was one of them.
[51:47.920 --> 51:49.840]  And so like, it kicked me out
[51:49.840 --> 51:51.560]  just as I was about to dab.
[51:51.560 --> 51:55.440]  And it's like, you need to update your credit card info.
[51:55.440 --> 51:57.520]  So I'm like looking for my credit card.
[51:57.520 --> 51:58.600]  And anyway,
[51:59.920 --> 52:03.240]  but yeah, Cheddar Bob with the peer pressure.
[52:04.880 --> 52:08.800]  So this is some Puffin solventless.
[52:08.800 --> 52:10.080]  I don't know if you can.
[52:10.080 --> 52:10.920]  No.
[52:11.920 --> 52:12.760]  You know.
[52:12.760 --> 52:13.600]  Kind of see the branding.
[52:13.600 --> 52:14.440]  A little better.
[52:14.440 --> 52:15.840]  You see the bird, the Puffin?
[52:15.840 --> 52:16.680]  Yeah.
[52:16.680 --> 52:17.520]  Oh, Puffin.
[52:17.520 --> 52:18.840]  Some Mac one.
[52:20.480 --> 52:23.480]  So anyway, I was choosing between that
[52:23.480 --> 52:28.280]  and some Rosin Tech,
[52:28.280 --> 52:32.080]  some talking trees, some Sunfire Farms.
[52:33.240 --> 52:34.800]  These are tough decisions.
[52:36.000 --> 52:37.720]  You're gonna be the guy with the knapsack
[52:37.720 --> 52:39.480]  at all the expos now, Peter.
[52:41.920 --> 52:44.240]  I'm not a big dabber though.
[52:44.240 --> 52:45.440]  I like my flower.
[52:46.560 --> 52:47.400]  Fair enough.
[52:47.400 --> 52:49.200]  It takes a long time to be able to dab
[52:49.200 --> 52:50.480]  and hold a conversation.
[52:50.480 --> 52:52.000]  But we can help you with that.
[52:54.200 --> 52:55.560]  So I sealed the gap.
[52:58.160 --> 53:00.600]  I don't know if you saw that question earlier
[53:00.600 --> 53:04.640]  that I threw up about ferments.
[53:05.520 --> 53:06.560]  Pipes don't play.
[53:07.920 --> 53:09.280]  You gotta leave them up there, Peter,
[53:09.640 --> 53:11.320]  until we answer them.
[53:11.320 --> 53:12.360]  Yeah, let me.
[53:12.360 --> 53:14.080]  It's a lot of scrolling up.
[53:16.000 --> 53:18.760]  If someone remembers the question in the chat.
[53:20.240 --> 53:21.080]  There you go.
[53:21.080 --> 53:21.920]  Help Peter out.
[53:21.920 --> 53:26.320]  There being some kind of question about the weekly-
[53:26.320 --> 53:27.880]  Oh, how often you apply.
[53:27.880 --> 53:28.720]  That's right.
[53:28.720 --> 53:30.720]  The application of ferments.
[53:30.720 --> 53:35.160]  So, I mean, this is like really everybody's thing
[53:35.160 --> 53:37.200]  that they can play with, in my opinion.
[53:37.200 --> 53:38.640]  There's some flexibility with it.
[53:39.040 --> 53:40.560]  In Korean malt-filled farming,
[53:41.760 --> 53:44.520]  some people like to spray their maintenance spray every day.
[53:44.520 --> 53:48.360]  And for me, I like to hit my maintenance spray
[53:48.360 --> 53:51.600]  probably, I don't know, maybe every other day.
[53:51.600 --> 53:53.960]  And sometimes I even let two days go between.
[53:53.960 --> 53:56.520]  But the key with that, for me,
[53:56.520 --> 54:00.000]  is I like to apply it an hour or two
[54:00.000 --> 54:01.800]  before the lights come on
[54:01.800 --> 54:05.120]  so it can kind of simulate a morning dew.
[54:05.120 --> 54:07.000]  And that seems to be a good way
[54:07.040 --> 54:11.320]  to get the plants to intake whatever I'm trying to give them.
[54:12.320 --> 54:14.000]  That's a great suggestion, dude.
[54:14.000 --> 54:16.640]  I mean, that's an amazing suggestion.
[54:16.640 --> 54:20.640]  It's basically the functions of nature
[54:20.640 --> 54:23.920]  because when the plants get dew in the morning,
[54:23.920 --> 54:24.880]  they absorb it.
[54:24.880 --> 54:26.320]  It doesn't just naturally-
[54:28.760 --> 54:29.760]  Evaporate.
[54:29.760 --> 54:31.200]  Evaporate, thank you.
[54:31.200 --> 54:32.280]  Maybe I need a dab.
[54:33.520 --> 54:34.560]  I think that's a key thing,
[54:34.560 --> 54:37.080]  especially for people that live in drier states
[54:37.080 --> 54:38.880]  like Colorado, because if your plants
[54:38.880 --> 54:40.440]  aren't getting enough foliage moisture,
[54:40.440 --> 54:42.480]  they're gonna start to hate you.
[54:42.480 --> 54:45.440]  Like, you're gonna start to get some BPD and-
[54:45.440 --> 54:48.200]  That really is a major issue, man, out here.
[54:50.960 --> 54:55.080]  It's just, especially at the commercial level.
[54:55.080 --> 54:59.360]  So do you think that a farm can grow
[54:59.360 --> 55:01.680]  with your style and your techniques
[55:01.680 --> 55:04.280]  and scale it to a larger farm?
[55:05.000 --> 55:08.000]  Or do you think that the quality just will always be lost
[55:08.000 --> 55:09.440]  when it's at that scale?
[55:10.520 --> 55:12.600]  I think that it's very possible for people
[55:12.600 --> 55:14.640]  to actually grow the weed at that scale.
[55:14.640 --> 55:16.160]  But I think what happens is,
[55:16.160 --> 55:20.680]  it's hard to harvest all that material.
[55:20.680 --> 55:22.720]  Like I said, I think that's where a lot of people
[55:22.720 --> 55:25.560]  are gonna lose their quality when they try to do
[55:25.560 --> 55:27.440]  these giant ventures,
[55:28.200 --> 55:31.600]  where they're just pulling an excessive amount of cannabis.
[55:31.600 --> 55:33.640]  Just like those fucking Amazon buildings
[55:33.680 --> 55:34.880]  you see on the internet.
[55:35.920 --> 55:37.600]  Canopy buildings, and I don't know,
[55:37.600 --> 55:39.920]  it's like, how would somebody even like,
[55:39.920 --> 55:42.360]  how would you care for each of those plants in there?
[55:42.360 --> 55:45.240]  Pay somebody to care for each of those plants in there?
[55:45.240 --> 55:47.440]  You know, there's a point where,
[55:47.440 --> 55:50.360]  I feel like that the heart gets detached
[55:51.440 --> 55:54.840]  from what's actually going on in the growth process.
[55:55.800 --> 55:58.640]  Yeah, and then here comes all the pests and disease.
[55:58.640 --> 56:00.680]  It seems like that rears its ugly head
[56:00.680 --> 56:03.320]  when the passion isn't there
[56:04.000 --> 56:06.000]  and it's just another plant.
[56:06.000 --> 56:07.360]  Or it's just a paycheck.
[56:07.360 --> 56:09.680]  And that's, you know, he's spot on about that.
[56:09.680 --> 56:11.400]  Brian, we chop that up all the time.
[56:11.400 --> 56:12.240]  Yeah.
[56:12.240 --> 56:13.640]  About that connection to the plant.
[56:13.640 --> 56:16.480]  And the plant's alive, it's a sentient being.
[56:16.480 --> 56:18.720]  So if you're just treating it like money
[56:18.720 --> 56:22.800]  and this is just a job, there's no love being shared.
[56:22.800 --> 56:26.240]  And so therefore, it's not gonna wanna produce for you.
[56:26.240 --> 56:28.840]  So I think that, Andrew, you make a really good point
[56:28.840 --> 56:31.480]  that once you get to those scales where,
[56:31.480 --> 56:34.560]  you're just another number or employee
[56:34.560 --> 56:36.200]  who gives a shit, right?
[56:36.200 --> 56:39.200]  And that's the bad side of what we do.
[56:39.200 --> 56:42.320]  It's kinda like, you know, where we farm cows.
